Chocolatey v2.2.0
7zip 23.1.0
7zip.install 23.1.0
altsnap 1.60.0
chocolatey 2.2.0
chocolatey-compatibility.extension 1.0.0
chocolatey-core.extension 1.4.0
chocolatey-font-helpers.extension 0.0.4
chocolatey-windowsupdate.extension 1.0.5
curl 8.2.1
FiraCode 6.2.0
git-interactive-rebase-tool 1.1.0
jetbrainsmono 2.304.0
jq 1.6.0
KB2919355 1.0.20160915
KB2919442 1.0.20160915
KB2999226 1.0.20181019
KB3033929 1.0.5
KB3035131 1.0.3
less 633.0.0
LinkShellExtension 3.9.3.5
neovim 0.9.1.20230531
ripgrep 13.0.0.20220913
SQLite 3.42.0
vcredist140 14.36.32532
vcredist2015 14.0.24215.20170201
vcredist2017 14.16.27033
zoxide 0.9.1
zstandard 1.5.0
28 packages installed.
